gutenberg_id,title,linenumber,chapter,word
345,Dracula,211,28,of
345,Dracula,211,28,some
345,Dracula,211,28,sort
345,Dracula,211,28,of
345,Dracula,212,28,imaginative
345,Dracula,212,28,whirlpool
345,Dracula,212,28,if
345,Dracula,212,28,so
345,Dracula,212,28,my
345,Dracula,212,28,stay
345,Dracula,212,28,may
345,Dracula,212,28,be
345,Dracula,212,28,very
345,Dracula,212,28,interesting
345,Dracula,212,28,_mem
345,Dracula,212,28,i
345,Dracula,213,28,must
345,Dracula,213,28,ask
345,Dracula,213,28,the
345,Dracula,213,28,count
345,Dracula,213,28,all
345,Dracula,213,28,about
345,Dracula,213,28,them
345,Dracula,215,28,i
345,Dracula,215,28,did
345,Dracula,215,28,not
345,Dracula,215,28,sleep
345,Dracula,215,28,well
345,Dracula,215,28,though
345,Dracula,215,28,my
345,Dracula,215,28,bed
345,Dracula,215,28,was
345,Dracula,215,28,comfortable
345,Dracula,215,28,enough
345,Dracula,215,28,for
345,Dracula,215,28,i
345,Dracula,215,28,had
345,Dracula,216,28,all
345,Dracula,216,28,sorts
345,Dracula,216,28,of
345,Dracula,216,28,queer
345,Dracula,216,28,dreams
345,Dracula,216,28,there
345,Dracula,216,28,was
345,Dracula,216,28,a
345,Dracula,216,28,dog
345,Dracula,216,28,howling
345,Dracula,216,28,all
345,Dracula,216,28,night
345,Dracula,216,28,under
345,Dracula,216,28,my
345,Dracula,217,28,window
345,Dracula,217,28,which
345,Dracula,217,28,may
345,Dracula,217,28,have
345,Dracula,217,28,had
345,Dracula,217,28,something
345,Dracula,217,28,to
345,Dracula,217,28,do
345,Dracula,217,28,with
345,Dracula,217,28,it
345,Dracula,217,28,or
345,Dracula,217,28,it
345,Dracula,217,28,may
345,Dracula,217,28,have
345,Dracula,217,28,been
345,Dracula,218,28,the
345,Dracula,218,28,paprika
345,Dracula,218,28,for
345,Dracula,218,28,i
345,Dracula,218,28,had
345,Dracula,218,28,to
345,Dracula,218,28,drink
345,Dracula,218,28,up
345,Dracula,218,28,all
345,Dracula,218,28,the
345,Dracula,218,28,water
345,Dracula,218,28,in
345,Dracula,218,28,my
345,Dracula,218,28,carafe
345,Dracula,218,28,and
345,Dracula,218,28,was
345,Dracula,219,28,still
345,Dracula,219,28,thirsty
345,Dracula,219,28,towards
345,Dracula,219,28,morning
345,Dracula,219,28,i
345,Dracula,219,28,slept
345,Dracula,219,28,and
345,Dracula,219,28,was
